id,label
TEST_0000,00
TEST_0001,00
TEST_0002,00
TEST_0003,00
TEST_0004,00
TEST_0005,00
TEST_0006,00
TEST_0007,00
TEST_0008,00
TEST_0009,00
TEST_0010,00
TEST_0011,00
TEST_0012,00
TEST_0013,00
TEST_0014,00
TEST_0015,00
TEST_0016,00
TEST_0017,00
TEST_0018,00
TEST_0019,00
TEST_0020,00
TEST_0021,00
TEST_0022,00
TEST_0023,00
TEST_0024,20
TEST_0025,00
TEST_0026,00
TEST_0027,00
TEST_0028,00
TEST_0029,00
TEST_0030,00
TEST_0031,00
TEST_0032,10
TEST_0033,20
TEST_0034,00
TEST_0035,00
TEST_0036,00
TEST_0037,00
TEST_0038,00
TEST_0039,00
TEST_0040,00
TEST_0041,00
TEST_0042,00
TEST_0043,00
TEST_0044,00
TEST_0045,00
TEST_0046,00
TEST_0047,00
TEST_0048,00
TEST_0049,00
TEST_0050,00
TEST_0051,00
TEST_0052,00
TEST_0053,00
TEST_0054,00
TEST_0055,00
TEST_0056,00
TEST_0057,00
TEST_0058,00
TEST_0059,00
TEST_0060,00
TEST_0061,00
TEST_0062,00
TEST_0063,00
TEST_0064,00
TEST_0065,00
TEST_0066,00
TEST_0067,00
TEST_0068,00
TEST_0069,00
TEST_0070,00
TEST_0071,00
TEST_0072,00
TEST_0073,00
TEST_0074,00
TEST_0075,00
TEST_0076,00
TEST_0077,00
TEST_0078,00
TEST_0079,00
TEST_0080,00
TEST_0081,00
TEST_0082,00
TEST_0083,00
TEST_0084,00
TEST_0085,00
TEST_0086,00
TEST_0087,00
TEST_0088,00
TEST_0089,00
TEST_0090,00
TEST_0091,00
TEST_0092,00
TEST_0093,00
TEST_0094,00
TEST_0095,00
TEST_0096,00
TEST_0097,00
TEST_0098,00
TEST_0099,00
TEST_0100,10
TEST_0101,00
TEST_0102,00
TEST_0103,00
TEST_0104,00
TEST_0105,00
TEST_0106,00
TEST_0107,00
TEST_0108,00
TEST_0109,00
TEST_0110,00
TEST_0111,00
TEST_0112,00
TEST_0113,00
TEST_0114,30
TEST_0115,00
TEST_0116,00
TEST_0117,00
TEST_0118,20
TEST_0119,00
TEST_0120,00
TEST_0121,00
TEST_0122,00
TEST_0123,00
TEST_0124,23
TEST_0125,00
TEST_0126,00
TEST_0127,00
TEST_0128,00
TEST_0129,00
TEST_0130,00
TEST_0131,00
TEST_0132,00
TEST_0133,00
TEST_0134,00
TEST_0135,00
TEST_0136,00
TEST_0137,00
TEST_0138,00
TEST_0139,00
TEST_0140,00
TEST_0141,00
TEST_0142,00
TEST_0143,00
TEST_0144,00
TEST_0145,00
TEST_0146,00
TEST_0147,00
TEST_0148,00
TEST_0149,00
TEST_0150,00
TEST_0151,00
TEST_0152,00
TEST_0153,00
TEST_0154,00
TEST_0155,00
TEST_0156,00
TEST_0157,00
TEST_0158,00
TEST_0159,00
TEST_0160,00
TEST_0161,00
TEST_0162,00
TEST_0163,00
TEST_0164,00
TEST_0165,00
TEST_0166,00
TEST_0167,00
TEST_0168,00
TEST_0169,00
TEST_0170,00
TEST_0171,00
TEST_0172,00
TEST_0173,00
TEST_0174,00
TEST_0175,00
TEST_0176,00
TEST_0177,00
TEST_0178,10
TEST_0179,00
TEST_0180,00
TEST_0181,00
TEST_0182,00
TEST_0183,00
TEST_0184,00
TEST_0185,00
TEST_0186,00
TEST_0187,00
TEST_0188,00
TEST_0189,00
TEST_0190,00
TEST_0191,00
TEST_0192,00
TEST_0193,00
TEST_0194,00
TEST_0195,00
TEST_0196,10
TEST_0197,00
TEST_0198,00
TEST_0199,00
TEST_0200,00
TEST_0201,00
TEST_0202,00
TEST_0203,00
TEST_0204,00
TEST_0205,00
TEST_0206,00
TEST_0207,00
TEST_0208,00
TEST_0209,00
TEST_0210,00
TEST_0211,00
TEST_0212,00
TEST_0213,00
TEST_0214,00
TEST_0215,00
TEST_0216,00
TEST_0217,00
TEST_0218,00
TEST_0219,00
TEST_0220,00
TEST_0221,30
TEST_0222,00
TEST_0223,00
TEST_0224,00
TEST_0225,00
TEST_0226,00
TEST_0227,00
TEST_0228,00
TEST_0229,00
TEST_0230,00
TEST_0231,00
TEST_0232,00
TEST_0233,00
TEST_0234,00
TEST_0235,00
TEST_0236,00
TEST_0237,00
TEST_0238,00
TEST_0239,00
TEST_0240,00
TEST_0241,00
TEST_0242,00
TEST_0243,00
TEST_0244,00
TEST_0245,00
TEST_0246,00
TEST_0247,00
TEST_0248,00
TEST_0249,20
TEST_0250,00
TEST_0251,00
TEST_0252,00
TEST_0253,00
TEST_0254,00
TEST_0255,00
TEST_0256,00
TEST_0257,00
TEST_0258,00
TEST_0259,30
TEST_0260,00
TEST_0261,00
TEST_0262,00
TEST_0263,00
TEST_0264,00
TEST_0265,00
TEST_0266,00
TEST_0267,00
TEST_0268,00
TEST_0269,20
TEST_0270,00
TEST_0271,00
TEST_0272,10
TEST_0273,00
TEST_0274,30
TEST_0275,00
TEST_0276,00
TEST_0277,00
TEST_0278,00
TEST_0279,00
TEST_0280,00
TEST_0281,00
TEST_0282,00
TEST_0283,00
TEST_0284,00
TEST_0285,00
TEST_0286,00
TEST_0287,00
TEST_0288,00
TEST_0289,00
TEST_0290,00
TEST_0291,00
TEST_0292,00
TEST_0293,00
TEST_0294,00
TEST_0295,00
TEST_0296,00
TEST_0297,30
TEST_0298,00
TEST_0299,00
TEST_0300,30
TEST_0301,00
TEST_0302,00
TEST_0303,00
TEST_0304,00
TEST_0305,00
TEST_0306,00
TEST_0307,20
TEST_0308,00
TEST_0309,00
TEST_0310,00
TEST_0311,00
TEST_0312,00
TEST_0313,00
TEST_0314,00
TEST_0315,00
TEST_0316,00
TEST_0317,00
TEST_0318,00
TEST_0319,10
TEST_0320,00
TEST_0321,00
TEST_0322,00
TEST_0323,00
TEST_0324,00
TEST_0325,00
TEST_0326,00
TEST_0327,00
TEST_0328,00
TEST_0329,00
TEST_0330,00
TEST_0331,00
TEST_0332,00
TEST_0333,00
TEST_0334,00
TEST_0335,00
TEST_0336,00
TEST_0337,00
TEST_0338,00
TEST_0339,00
TEST_0340,00
TEST_0341,00
TEST_0342,00
TEST_0343,00
TEST_0344,00
TEST_0345,00
TEST_0346,00
TEST_0347,30
TEST_0348,00
TEST_0349,10
TEST_0350,00
TEST_0351,00
TEST_0352,00
TEST_0353,00
TEST_0354,00
TEST_0355,00
TEST_0356,30
TEST_0357,00
TEST_0358,00
TEST_0359,00
TEST_0360,00
TEST_0361,00
TEST_0362,00
TEST_0363,00
TEST_0364,00
TEST_0365,00
TEST_0366,00
TEST_0367,00
TEST_0368,00
TEST_0369,00
TEST_0370,00
TEST_0371,00
TEST_0372,00
TEST_0373,00
TEST_0374,00
TEST_0375,00
TEST_0376,00
TEST_0377,00
TEST_0378,00
TEST_0379,00
TEST_0380,00
TEST_0381,00
TEST_0382,00
TEST_0383,00
TEST_0384,00
TEST_0385,10
TEST_0386,00
TEST_0387,00
TEST_0388,00
TEST_0389,00
TEST_0390,00
TEST_0391,00
TEST_0392,00
TEST_0393,00
TEST_0394,00
TEST_0395,00
TEST_0396,00
TEST_0397,00
TEST_0398,00
TEST_0399,00
TEST_0400,00
TEST_0401,00
TEST_0402,00
TEST_0403,00
TEST_0404,00
TEST_0405,00
TEST_0406,00
TEST_0407,00
TEST_0408,00
TEST_0409,00
TEST_0410,00
TEST_0411,10
TEST_0412,00
TEST_0413,00
TEST_0414,00
TEST_0415,30
TEST_0416,00
TEST_0417,00
TEST_0418,00
TEST_0419,00
TEST_0420,00
TEST_0421,00
TEST_0422,00
TEST_0423,00
TEST_0424,00
TEST_0425,00
TEST_0426,00
TEST_0427,00
TEST_0428,00
TEST_0429,00
TEST_0430,00
TEST_0431,00
TEST_0432,00
TEST_0433,00
TEST_0434,00
TEST_0435,00
TEST_0436,00
TEST_0437,00
TEST_0438,00
TEST_0439,10
TEST_0440,00
TEST_0441,00
TEST_0442,00
TEST_0443,00
TEST_0444,00
TEST_0445,00
TEST_0446,00
TEST_0447,00
TEST_0448,00
TEST_0449,00
TEST_0450,00
TEST_0451,00
TEST_0452,00
TEST_0453,30
TEST_0454,00
TEST_0455,00
TEST_0456,00
TEST_0457,00
TEST_0458,00
TEST_0459,00
TEST_0460,00
TEST_0461,00
TEST_0462,00
TEST_0463,00
TEST_0464,00
TEST_0465,00
TEST_0466,00
TEST_0467,00
TEST_0468,00
TEST_0469,00
TEST_0470,20
TEST_0471,00
TEST_0472,00
TEST_0473,00
TEST_0474,00
TEST_0475,00
TEST_0476,00
TEST_0477,00
TEST_0478,00
TEST_0479,00
TEST_0480,00
TEST_0481,00
TEST_0482,00
TEST_0483,00
TEST_0484,00
TEST_0485,00
TEST_0486,00
TEST_0487,00
TEST_0488,00
TEST_0489,00
TEST_0490,00
TEST_0491,12
TEST_0492,00
TEST_0493,00
TEST_0494,00
TEST_0495,00
TEST_0496,00
TEST_0497,00
TEST_0498,00
TEST_0499,00
TEST_0500,00
TEST_0501,00
TEST_0502,00
TEST_0503,00
TEST_0504,00
TEST_0505,00
TEST_0506,00
TEST_0507,00
TEST_0508,00
TEST_0509,00
TEST_0510,00
TEST_0511,00
TEST_0512,00
TEST_0513,00
TEST_0514,00
TEST_0515,00
TEST_0516,10
TEST_0517,00
TEST_0518,00
TEST_0519,00
TEST_0520,00
TEST_0521,00
TEST_0522,00
TEST_0523,00
TEST_0524,00
TEST_0525,00
TEST_0526,00
TEST_0527,00
TEST_0528,00
TEST_0529,00
TEST_0530,10
TEST_0531,00
TEST_0532,00
TEST_0533,00
TEST_0534,00
TEST_0535,00
TEST_0536,20
TEST_0537,00
TEST_0538,00
TEST_0539,00
TEST_0540,00
TEST_0541,00
TEST_0542,00
TEST_0543,00
TEST_0544,00
TEST_0545,00
TEST_0546,00
TEST_0547,00
TEST_0548,00
TEST_0549,00
TEST_0550,00
TEST_0551,00
TEST_0552,00
TEST_0553,00
TEST_0554,00
TEST_0555,00
TEST_0556,00
TEST_0557,10
TEST_0558,00
TEST_0559,00
TEST_0560,00
TEST_0561,10
TEST_0562,00
TEST_0563,00
TEST_0564,00
TEST_0565,00
TEST_0566,00
TEST_0567,00
TEST_0568,30
TEST_0569,00
TEST_0570,00
TEST_0571,00
TEST_0572,00
TEST_0573,00
TEST_0574,00
TEST_0575,00
TEST_0576,00
TEST_0577,00
TEST_0578,00
TEST_0579,00
TEST_0580,00
TEST_0581,00
TEST_0582,00
TEST_0583,00
TEST_0584,00
TEST_0585,00
TEST_0586,00
TEST_0587,00
TEST_0588,00
TEST_0589,00
TEST_0590,20
TEST_0591,00
TEST_0592,20
TEST_0593,00
TEST_0594,00
TEST_0595,00
TEST_0596,00
TEST_0597,00
TEST_0598,00
TEST_0599,10
TEST_0600,00
TEST_0601,00
TEST_0602,00
TEST_0603,00
TEST_0604,00
TEST_0605,00
TEST_0606,00
TEST_0607,00
TEST_0608,00
TEST_0609,00
TEST_0610,00
TEST_0611,00
TEST_0612,00
TEST_0613,00
TEST_0614,30
TEST_0615,00
TEST_0616,00
TEST_0617,30
TEST_0618,10
TEST_0619,00
TEST_0620,20
TEST_0621,00
TEST_0622,00
TEST_0623,00
TEST_0624,00
TEST_0625,30
TEST_0626,23
TEST_0627,00
TEST_0628,00
TEST_0629,00
