,text,label
0,"이번에 구매한 제품은 정말 실망스러웠어요. 직원들이 추천해 준대로 구매했는데, 전혀 마음에 들지 않았어요. 다른 사람들은 만족한 것 같은데, 내게는 맞지 않는 제품이었어요. 솔직히 인터넷에서 더 싸게 살 수 있는 것도 알았는데, 그냥 직원들의 의견을 믿고 사버린 것 같아 후회되네요. 또한, 직원들이 대화를 걸어주지 않거나 대답이 없는 경우가 많아서 직접 정보를 찾아보고 구매해야 했어요. 결국에는 감정적으로 상하게 되고 시간만 낭비하게 됐어요. 이런 경험을 토대로 다른 사람들은 가지 않는 것을 추천드립니다.",1
1,베트남 음식과는 다른 맛이지만 맛있어요. 조금 독특한데도 불구하고 맛있어요. 쌀국수는 투명한 면이 아니라서 조금 신기하지만 익숙해지면 향신료를 추가해서 먹으면 좋아요. 베트남 커피도 한 번씩 꼭 드셔보세요. 설명도 친절해요. ,1
2,"오배넌의 정교한 각본과 바뎀의 역량 있는 연출이 합쳐져, 전설적인 영화가 탄생했습니다. 냉혹하게 맞붙는 두 명의 배우들의 대결은 진정한 향연이었으며, 특히 헬리콥터를 조종하며 도시를 날아다니는 장면에서는 몰입도가 더욱 깊어졌습니다. 신중과 공격의 균형을 이룬 히로인의 도전은 시청자들에게 강력한 여운을 남겼고, 이는 21세기 공중전의 서막이라고 해도 과언이 아닙니다. 천사와 괴물이라는 대표적인 상징들을 통해 영화는 인간의 설레임과 공포를 동시에 그려냈으며, 이는 관객들에게 감동을 선사했습니다. 전투의 과정을 통해 주인에 의해 벌어지는 천둥의 펼치기를 지켜볼 수 있었고, 이는 스크린을 통해 전달되는 경이롭고 장관한 시각적 이미지를 제공해주었습니다. 총맞고, 피 뱉으며 테러를 소탕하는 헬리콥터는 정말 실감나는 장면이었으며, 이러한 역동적인 액션은 영화의 재미를 한층 더 높여주었습니다. 전 세계의 관객들에게 강력한 메시지를 전달하면서도 에너지 넘치는 영화였어요.",1
3,"이것은 정말 맛있는 음식이에요. 동네 음식점 수준을 뛰어넘는 맛과 부드러움을 지닌 우동 면발이에요. 튀김도 너무 맛있고 바삭하게 튀겨져 있어요. 이 곳에서는 마제소바 돈까스도 맛있대요. 진짜 멀리 나가서 이 정도로 잘하는 우동면을 찾기도 힘들었는데, 이곳에서 먹으면 될 것 같아요. 우동면은 조금 얇은 편이지만 맛있게 먹을 수 있어요. 사진은 못 찍었지만, 다음에는 꼭 찍어야겠어요.",1
4,"이 영화에 대한 나의 의견은 빵점을 주고 싶은걸 간신히 참았다는 것이다. 이런 영화는 사상 유래가 없는 조지 루카스의 스페이스 오페라-별들의 전쟁에 비하면 애들 장난만도 못한 수준이다. 그나마 피터 정 감독의 다크 퓨리 때문에 어느 정도 참고 평점 2점 정도, 적선한 셈치고 선사된 걸로 보아야한다. 그러나 속편은 좀 더 신경을 쓰면 좋을 것이다.",1
5,어젠 했던 감자튀김 주문했는데... 왜이렇게 눅눅하고 최악이었을까요? 저녁에 가면 또 어떤 튀김이 나올지 상상도 안되네요ㅋㅋ 햄버거에 야채 추가하려고 했는데 추가가 안되더라고요. 그냥 기본으로 주셨어요. 제가 그 자리에서 바로 확인해봐야 할까요? 진짜 너무하네요ㅋㅋ 아르바이트생 문제인가요?ㅋㅋ,1
6,"홍티라 버거를 할인 받아 주문했는데, 어떤 결함이 있더라구요. 홍차소스 추가 요청과 고구마 추가도 함께 했었는데, 돌아와서 봤더니 소스도 없고 고구마도 별로 없어요. 주문한지 2분만에 나왔길래 좀 의아했지만 맛은 그저 그런 무난한 커피킹이었네요. 서비스에 좀 더 신경 쓰면 좋겠어요, 참고로 포장시에는 꼭 확인해보시는 것을 추천드려요!",1
7,"레벨링, 재미, 편의성, 그래픽의 모든 측면에서 예상에 미치지 못해 실망스러웠습니다. 이 게임은 저에게는 기대에 못 미치는 작품으로 다가왔어요. 저는 2년 동안 기다리며 킥스타터에서 후원한 만큼 큰 기대를 했었는데, 그 기대가 완전히 배신당했습니다. 저는 이 게임의 레벨링 시스템, 재미 요소, 사용자 편의성, 그래픽들이 모두 만족스럽지 않았습니다. 이에 대해 개발자 분들께서는 개선을 해주셨으면 좋겠습니다. 물론 어떤 사람들에게는 멋진 게임일 수도 있겠지만, 만약 제가 친구들에게 이 게임을 추천한다면 저와의 관계가 위태롭게 될 것 같아요.",1
8,"영화를 보러 간데 티비에서 이게 뭐야! 한 편의 어른 동화를 보는 느낌이었어요. 순수함으로 힐링을 받았다고 할까요? 암튼, CG가 조금 부실했지만 나라씨가 울 때 함께 울었답니다ㅠ 나라씨는 다른 사람들도 같이 울게 하는 재주를 가지고 있으신 것 같아요ㅎㅎ 연기도 정말 좋았어요! 영화를 잘 봤습니다^^",1
9,"이곳은 평점이 없어서 안타깝지만, 숨겨진 동네 맛집입니다. 사장님은 요리를 맡으시고 사모님이 배달을 해주십니다. 간짜장과 탕수육이 정말 대단합니다. 이런 식당은 정말로 드물죠. 짬뽕은 조금 맑은 편이지만 너무 자극적이지 않아서 좋습니다. 탕수육 소스는 평범한편이지만 오이가 크게 썰려있어 특이한 맛을 선사합니다. 그리고 탕수육 튀김은 정말 맛있습니다.",1
